Version name,File name,Size,NR,NAuth,LOCTouched,LOCAdded,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,bugginess
1.0.0,lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java,118,11,1,450,284,92,26,118,92,11,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumWriter.java,65,15,1,310,188,61,13,65,61,4,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/specific/FixedSize.java,37,3,1,43,40,30,13,37,30,12,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java,71,2,1,83,77,67,39,71,67,36,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumReader.java,47,10,1,562,305,125,31,47,125,5,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,36,8,1,158,97,43,12,36,43,5,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificExceptionBase.java,41,3,1,43,42,40,14,41,40,14,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificFixed.java,29,2,1,29,29,28,15,29,28,15,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecord.java,28,6,1,98,63,30,11,28,30,5,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java,72,3,1,82,77,64,26,72,64,24,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java,87,5,1,257,172,80,34,87,80,17,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/BarRecord.java,53,3,1,57,55,35,18,53,35,18,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/FooRecord.java,47,2,1,49,48,33,24,47,33,24,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/GenerateBlockingData.java,85,1,1,85,85,85,85,85,85,85,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/TestDataFile.java,141,10,2,495,318,128,32,141,128,14,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/TestDataFileReflect.java,176,3,1,190,183,142,61,176,142,59,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/io/TestBinaryDecoder.java,76,6,1,218,148,73,25,76,73,13,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/io/TestBlockingIO.java,483,4,1,555,519,450,130,483,450,121,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/io/TestBlockingIO2.java,163,1,1,163,163,163,163,163,163,163,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/io/TestResolvingIO.java,214,4,1,893,554,343,139,214,343,54,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/io/TestResolvingIOResolving.java,120,2,1,120,120,103,60,120,103,60,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/io/TestValidatingIO.java,841,4,1,1324,1083,630,271,841,630,210,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCContext.java,149,1,1,149,149,149,149,149,149,149,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCPlugin.java,74,1,1,74,74,74,74,74,74,74,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/Requestor.java,228,10,1,552,390,105,39,228,105,23,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/Responder.java,218,11,1,568,394,124,36,218,124,20,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketServer.java,111,6,1,415,263,118,44,111,118,19,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketTransceiver.java,95,5,1,273,184,87,37,95,87,19,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/Transceiver.java,43,5,1,127,85,40,17,43,40,9,YES
1.0.0,lang/java/ipc/src/test/java/org/apache/avro/RPCMetaTestPlugin.java,176,1,1,176,176,176,176,176,176,176,YES
1.0.0,lang/java/ipc/src/test/java/org/apache/avro/TestCompare.java,222,3,1,264,243,160,81,222,160,74,YES
1.0.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolGeneric.java,193,11,1,556,375,144,34,193,144,18,YES
1.0.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolGenericMeta.java,42,1,1,42,42,42,42,42,42,42,YES
1.0.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolReflect.java,39,7,1,193,116,50,17,39,50,6,YES
1.0.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolReflectMeta.java,45,1,1,45,45,45,45,45,45,45,YES
1.0.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolSpecific.java,167,14,2,499,333,113,24,167,113,12,YES
1.0.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,46,1,1,46,46,46,46,46,46,46,YES
1.0.0,lang/java/ipc/src/test/java/org/apache/avro/TestSchema.java,272,20,1,722,499,139,25,272,139,14,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/AvroRemoteException.java,41,5,1,137,89,44,18,41,44,8,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferInputStream.java,87,7,1,261,174,69,25,87,69,12,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferOutputStream.java,91,5,1,273,182,87,36,91,87,18,YES
1.0.0,lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/ProtocolTask.java,106,5,1,292,199,84,40,106,84,21,YES
1.0.0,lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SchemaTask.java,29,5,1,91,60,28,12,29,28,6,YES
1.0.0,lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SpecificCompiler.java,288,16,1,808,548,225,34,288,225,18,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericRequestor.java,58,7,1,202,130,57,19,58,57,8,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericResponder.java,55,6,1,189,122,53,20,55,53,9,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectRequestor.java,114,9,1,302,208,77,23,114,77,13,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectResponder.java,128,11,1,409,269,118,24,128,118,12,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificRequestor.java,81,9,1,221,151,53,17,81,53,9,YES
1.0.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificResponder.java,41,6,1,155,98,46,16,41,46,7,YES
1.0.0,lang/java/avro/src/test/java/org/apache/avro/reflect/TestReflect.java,155,10,1,377,266,69,27,155,63,16,YES
1.0.0,lang/java/avro/src/main/java/org/apache/avro/util/RandomData.java,139,9,1,427,283,128,31,139,128,15,YES
1.1.0,src/test/java/org/apache/avro/TestFsData.java,0,1,1,139,0,0,0,-139,-139,-139,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/AvroRuntimeException.java,26,1,1,1,1,1,1,1,1,1,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/Protocol.java,345,1,1,17,14,14,14,10,10,10,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/Schema.java,766,1,1,130,87,87,87,43,43,43,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/SchemaParseException.java,26,1,1,1,1,1,1,1,1,1,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/file/DataFileConstants.java,38,1,1,38,38,38,38,38,38,38,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader.java,223,1,1,30,19,19,19,8,8,8,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/file/DataFileWriter.java,194,1,1,25,9,9,9,-7,-7,-7,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java,442,2,1,13,13,12,7,13,12,7,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumReader.java,461,1,1,7,5,5,5,3,3,3,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/JsonEncoder.java,239,1,1,4,1,1,1,-2,-2,-2,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,102,1,1,3,1,1,1,-1,-1,-1,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/parsing/Parser.java,166,1,1,21,21,21,21,21,21,21,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/parsing/Symbol.java,382,1,1,1,0,0,0,-1,-1,-1,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectData.java,349,1,1,90,70,70,70,50,50,50,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java,104,1,1,31,9,9,9,-14,-14,-14,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumWriter.java,73,1,1,8,8,8,8,8,8,8,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java,97,1,1,29,28,28,28,26,26,26,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumReader.java,44,1,1,12,5,5,5,-3,-3,-3,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,37,1,1,8,5,5,5,1,1,1,YES
1.1.0,lang/java/avro/src/test/java/org/apache/avro/TestDataFile.java,140,1,1,4,2,2,2,-1,-1,-1,YES
1.1.0,lang/java/avro/src/test/java/org/apache/avro/TestDataFileReflect.java,234,2,1,64,61,58,31,58,58,29,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/DatagramServer.java,79,1,1,79,79,79,79,79,79,79,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/DatagramTransceiver.java,84,1,1,84,84,84,84,84,84,84,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/HttpTransceiver.java,118,3,1,122,120,116,40,118,116,39,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCContext.java,149,1,1,36,18,18,18,0,0,0,YES
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCPlugin.java,74,1,1,8,4,4,4,0,0,0,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/Requestor.java,226,2,1,21,10,8,5,-2,-1,-1,YES
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/Responder.java,204,2,1,33,10,8,5,-14,-1,-7,YES
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/ResponderServlet.java,56,1,1,56,56,56,56,56,56,56,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/Server.java,29,1,1,29,29,29,29,29,29,29,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketServer.java,111,1,1,4,2,2,2,0,0,0,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketTransceiver.java,97,1,1,16,9,9,9,2,2,2,NO
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/RPCMetaTestPlugin.java,174,1,1,36,17,17,17,-2,-2,-2,YES
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestCompare.java,224,1,1,25,14,14,14,2,2,2,YES
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestNamespaceReflect.java,39,1,1,39,39,39,39,39,39,39,NO
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestNamespaceSpecific.java,98,1,1,98,98,98,98,98,98,98,YES
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolDatagram.java,42,1,1,42,42,42,42,42,42,42,NO
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolGeneric.java,192,1,1,4,2,2,2,-1,-1,-1,NO
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolSpecific.java,174,3,1,18,13,7,4,7,7,2,YES
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestSchema.java,275,1,1,9,6,6,6,3,3,3,YES
1.1.0,lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/ProtocolTask.java,81,1,1,32,4,4,4,-25,-25,-25,YES
1.1.0,lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SchemaTask.java,28,1,1,4,2,2,2,-1,-1,-1,YES
1.1.0,lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SpecificCompiler.java,311,3,2,326,175,172,58,23,22,8,YES
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectRequestor.java,113,1,1,4,2,2,2,-1,-1,-1,YES
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/reflect/ReflectResponder.java,102,1,1,33,4,4,4,-26,-26,-26,YES
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificRequestor.java,81,1,1,2,1,1,1,0,0,0,YES
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/specific/SpecificResponder.java,41,1,1,2,1,1,1,0,0,0,YES
1.1.0,lang/java/avro/src/test/java/org/apache/avro/reflect/TestReflect.java,145,1,1,19,5,5,5,-10,-10,-10,YES
1.1.0,lang/java/ipc-jetty/src/main/java/org/apache/avro/ipc/jetty/HttpServer.java,59,2,1,111,85,76,43,59,76,30,NO
1.1.0,lang/java/ipc-jetty/src/test/java/org/apache/avro/ipc/jetty/TestBulkData.java,110,1,1,110,110,110,110,110,110,110,NO
1.1.0,lang/java/ipc-jetty/src/test/java/org/apache/avro/ipc/jetty/TestProtocolHttp.java,41,1,1,41,41,41,41,41,41,41,NO
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/Transceiver.java,43,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolReflect.java,39,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/AvroTypeException.java,26,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumWriter.java,182,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/parsing/SkipParser.java,95,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/test/java/org/apache/avro/FooRecord.java,47,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/test/java/org/apache/avro/io/TestBlockingIO.java,483,0,0,0,0,0,0,0,0,0,NO
