Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Classifier,Precision,Recall,AUC,Kappa
AVRO,3,9.08%,80.33%,10.13%,oversampling,No Feature Selection,No cost sensitive,6.0,39.0,103.0,10.0,IBk,0.133,0.375,0.498,0.056,
AVRO,3,9.08%,80.33%,10.13%,oversampling,No Feature Selection,Sensitive Threshold,9.0,44.0,98.0,7.0,RandomForest,0.17,0.563,0.626,0.125,
AVRO,3,9.08%,80.33%,10.13%,oversampling,No Feature Selection,Sensitive Threshold,0.0,4.0,138.0,16.0,NaiveBayes,0.0,0.0,0.486,-0.042,
AVRO,3,9.08%,80.33%,10.13%,oversampling,No Feature Selection,Sensitive Threshold,6.0,40.0,102.0,10.0,IBk,0.13,0.375,0.547,0.051,
AVRO,3,9.08%,80.33%,10.13%,oversampling,No Feature Selection,Sensitive Learning,8.0,49.0,93.0,8.0,RandomForest,0.14,0.5,0.582,0.073,
AVRO,3,9.08%,80.33%,10.13%,oversampling,No Feature Selection,Sensitive Learning,0.0,4.0,138.0,16.0,NaiveBayes,0.0,0.0,0.682,-0.042,
AVRO,3,9.08%,80.33%,10.13%,oversampling,No Feature Selection,Sensitive Learning,6.0,40.0,102.0,10.0,IBk,0.13,0.375,0.498,0.051,
AVRO,3,9.08%,80.33%,10.13%,oversampling,Best first,No cost sensitive,5.0,36.0,106.0,11.0,RandomForest,0.122,0.313,0.555,0.035,
AVRO,3,9.08%,80.33%,10.13%,oversampling,Best first,No cost sensitive,0.0,4.0,138.0,16.0,NaiveBayes,0.0,0.0,0.682,-0.042,
AVRO,3,9.08%,80.33%,10.13%,oversampling,Best first,No cost sensitive,6.0,38.0,104.0,10.0,IBk,0.136,0.375,0.433,0.06,
AVRO,3,9.08%,80.33%,10.13%,oversampling,Best first,Sensitive Threshold,8.0,43.0,99.0,8.0,RandomForest,0.157,0.5,0.599,0.1,
AVRO,3,9.08%,80.33%,10.13%,oversampling,Best first,Sensitive Threshold,1.0,9.0,133.0,15.0,NaiveBayes,0.1,0.063,0.5,-0.001,
AVRO,3,9.08%,80.33%,10.13%,oversampling,Best first,Sensitive Threshold,6.0,39.0,103.0,10.0,IBk,0.133,0.375,0.55,0.056,
AVRO,3,9.08%,80.33%,10.13%,oversampling,Best first,Sensitive Learning,6.0,48.0,94.0,10.0,RandomForest,0.111,0.375,0.556,0.018,
AVRO,3,9.08%,80.33%,10.13%,oversampling,Best first,Sensitive Learning,1.0,9.0,133.0,15.0,NaiveBayes,0.1,0.063,0.682,-0.001,
AVRO,3,9.08%,80.33%,10.13%,oversampling,Best first,Sensitive Learning,6.0,39.0,103.0,10.0,IBk,0.133,0.375,0.433,0.056,
AVRO,3,9.08%,80.33%,10.13%,undersampling,No Feature Selection,No cost sensitive,1.0,2.0,140.0,15.0,RandomForest,0.333,0.063,0.688,0.076,
AVRO,3,9.08%,80.33%,10.13%,undersampling,No Feature Selection,No cost sensitive,0.0,2.0,140.0,16.0,NaiveBayes,0.0,0.0,0.69,-0.023,
AVRO,3,9.08%,80.33%,10.13%,undersampling,No Feature Selection,No cost sensitive,1.0,5.0,137.0,15.0,IBk,0.167,0.063,0.491,0.038,
AVRO,3,9.08%,80.33%,10.13%,undersampling,No Feature Selection,Sensitive Threshold,7.0,8.0,134.0,9.0,RandomForest,0.467,0.438,0.691,0.392,
AVRO,3,9.08%,80.33%,10.13%,undersampling,No Feature Selection,Sensitive Threshold,0.0,4.0,138.0,16.0,NaiveBayes,0.0,0.0,0.486,-0.042,
AVRO,3,9.08%,80.33%,10.13%,undersampling,No Feature Selection,Sensitive Threshold,1.0,5.0,137.0,15.0,IBk,0.167,0.063,0.514,0.038,
AVRO,3,9.08%,80.33%,10.13%,undersampling,No Feature Selection,Sensitive Learning,7.0,9.0,133.0,9.0,RandomForest,0.438,0.438,0.77,0.374,
AVRO,3,9.08%,80.33%,10.13%,undersampling,No Feature Selection,Sensitive Learning,0.0,4.0,138.0,16.0,NaiveBayes,0.0,0.0,0.69,-0.042,
AVRO,3,9.08%,80.33%,10.13%,undersampling,No Feature Selection,Sensitive Learning,1.0,5.0,137.0,15.0,IBk,0.167,0.063,0.491,0.038,
AVRO,3,9.08%,80.33%,10.13%,undersampling,Best first,No cost sensitive,2.0,4.0,138.0,14.0,RandomForest,0.333,0.125,0.682,0.134,
AVRO,3,9.08%,80.33%,10.13%,undersampling,Best first,No cost sensitive,1.0,4.0,138.0,15.0,NaiveBayes,0.2,0.063,0.694,0.049,
AVRO,3,9.08%,80.33%,10.13%,undersampling,Best first,No cost sensitive,2.0,5.0,137.0,14.0,IBk,0.286,0.125,0.522,0.12,
AVRO,3,9.08%,80.33%,10.13%,undersampling,Best first,Sensitive Threshold,3.0,7.0,135.0,13.0,RandomForest,0.3,0.188,0.569,0.166,
AVRO,3,9.08%,80.33%,10.13%,undersampling,Best first,Sensitive Threshold,7.0,21.0,121.0,9.0,NaiveBayes,0.25,0.438,0.645,0.217,
AVRO,3,9.08%,80.33%,10.13%,undersampling,Best first,Sensitive Threshold,2.0,5.0,137.0,14.0,IBk,0.286,0.125,0.545,0.12,
AVRO,3,9.08%,80.33%,10.13%,undersampling,Best first,Sensitive Learning,6.0,7.0,135.0,10.0,RandomForest,0.462,0.375,0.68,0.355,
AVRO,3,9.08%,80.33%,10.13%,undersampling,Best first,Sensitive Learning,7.0,21.0,121.0,9.0,NaiveBayes,0.25,0.438,0.694,0.217,
AVRO,3,9.08%,80.33%,10.13%,undersampling,Best first,Sensitive Learning,2.0,5.0,137.0,14.0,IBk,0.286,0.125,0.522,0.12,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,No Feature Selection,No cost sensitive,4.0,28.0,114.0,12.0,RandomForest,0.125,0.25,0.627,0.037,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,No Feature Selection,No cost sensitive,0.0,4.0,138.0,16.0,NaiveBayes,0.0,0.0,0.681,-0.042,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,No Feature Selection,No cost sensitive,4.0,38.0,104.0,12.0,IBk,0.095,0.25,0.489,-0.01,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,No Feature Selection,Sensitive Threshold,10.0,48.0,94.0,6.0,RandomForest,0.172,0.625,0.643,0.133,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,No Feature Selection,Sensitive Threshold,0.0,4.0,138.0,16.0,NaiveBayes,0.0,0.0,0.486,-0.042,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,No Feature Selection,Sensitive Threshold,4.0,38.0,104.0,12.0,IBk,0.095,0.25,0.491,-0.01,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,No Feature Selection,Sensitive Learning,10.0,57.0,85.0,6.0,RandomForest,0.149,0.625,0.644,0.093,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,No Feature Selection,Sensitive Learning,0.0,4.0,138.0,16.0,NaiveBayes,0.0,0.0,0.681,-0.042,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,No Feature Selection,Sensitive Learning,4.0,38.0,104.0,12.0,IBk,0.095,0.25,0.489,-0.01,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,Best first,No cost sensitive,3.0,31.0,111.0,13.0,RandomForest,0.088,0.188,0.625,-0.021,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,Best first,No cost sensitive,0.0,5.0,137.0,16.0,NaiveBayes,0.0,0.0,0.682,-0.051,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,Best first,No cost sensitive,6.0,37.0,105.0,10.0,IBk,0.14,0.375,0.553,0.065,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,Best first,Sensitive Threshold,9.0,48.0,94.0,7.0,RandomForest,0.158,0.563,0.612,0.105,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,Best first,Sensitive Threshold,2.0,13.0,129.0,14.0,NaiveBayes,0.133,0.125,0.517,0.034,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,Best first,Sensitive Threshold,6.0,37.0,105.0,10.0,IBk,0.14,0.375,0.557,0.065,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,Best first,Sensitive Learning,10.0,58.0,84.0,6.0,RandomForest,0.147,0.625,0.627,0.089,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,Best first,Sensitive Learning,2.0,13.0,129.0,14.0,NaiveBayes,0.133,0.125,0.682,0.034,
AVRO,3,9.08%,80.33%,10.13%,SMOTE,Best first,Sensitive Learning,6.0,37.0,105.0,10.0,IBk,0.14,0.375,0.553,0.065,
AVRO,4,13.03%,59.07%,10.13%,No sampling,No Feature Selection,No cost sensitive,9.0,2.0,140.0,7.0,RandomForest,0.818,0.563,0.927,0.637,
AVRO,4,13.03%,59.07%,10.13%,No sampling,No Feature Selection,No cost sensitive,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.642,0.0,
AVRO,4,13.03%,59.07%,10.13%,No sampling,No Feature Selection,No cost sensitive,10.0,6.0,136.0,6.0,IBk,0.625,0.625,0.862,0.583,
AVRO,4,13.03%,59.07%,10.13%,No sampling,No Feature Selection,Sensitive Threshold,15.0,35.0,107.0,1.0,RandomForest,0.3,0.938,0.846,0.356,
AVRO,4,13.03%,59.07%,10.13%,No sampling,No Feature Selection,Sensitive Threshold,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.5,0.0,
AVRO,4,13.03%,59.07%,10.13%,No sampling,No Feature Selection,Sensitive Threshold,12.0,15.0,127.0,4.0,IBk,0.444,0.75,0.822,0.494,
AVRO,4,13.03%,59.07%,10.13%,No sampling,No Feature Selection,Sensitive Learning,15.0,49.0,93.0,1.0,RandomForest,0.234,0.938,0.904,0.254,
AVRO,4,13.03%,59.07%,10.13%,No sampling,No Feature Selection,Sensitive Learning,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.642,0.0,
AVRO,4,13.03%,59.07%,10.13%,No sampling,No Feature Selection,Sensitive Learning,12.0,15.0,127.0,4.0,IBk,0.444,0.75,0.86,0.494,
AVRO,4,13.03%,59.07%,10.13%,No sampling,Best first,No cost sensitive,9.0,1.0,141.0,7.0,RandomForest,0.9,0.563,0.926,0.666,
AVRO,4,13.03%,59.07%,10.13%,No sampling,Best first,No cost sensitive,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.642,0.0,
AVRO,4,13.03%,59.07%,10.13%,No sampling,Best first,No cost sensitive,10.0,4.0,138.0,6.0,IBk,0.714,0.625,0.869,0.632,
AVRO,4,13.03%,59.07%,10.13%,No sampling,Best first,Sensitive Threshold,15.0,35.0,107.0,1.0,RandomForest,0.3,0.938,0.846,0.356,
AVRO,4,13.03%,59.07%,10.13%,No sampling,Best first,Sensitive Threshold,2.0,2.0,140.0,14.0,NaiveBayes,0.5,0.125,0.555,0.166,
AVRO,4,13.03%,59.07%,10.13%,No sampling,Best first,Sensitive Threshold,12.0,13.0,129.0,4.0,IBk,0.48,0.75,0.829,0.527,
AVRO,4,13.03%,59.07%,10.13%,No sampling,Best first,Sensitive Learning,15.0,49.0,93.0,1.0,RandomForest,0.234,0.938,0.906,0.254,
AVRO,4,13.03%,59.07%,10.13%,No sampling,Best first,Sensitive Learning,2.0,2.0,140.0,14.0,NaiveBayes,0.5,0.125,0.642,0.166,
AVRO,4,13.03%,59.07%,10.13%,No sampling,Best first,Sensitive Learning,12.0,13.0,129.0,4.0,IBk,0.48,0.75,0.868,0.527,
AVRO,4,13.03%,59.07%,10.13%,oversampling,No Feature Selection,No cost sensitive,4.0,3.0,139.0,12.0,RandomForest,0.571,0.25,0.646,0.305,
AVRO,4,13.03%,59.07%,10.13%,oversampling,No Feature Selection,No cost sensitive,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.615,0.0,
AVRO,4,13.03%,59.07%,10.13%,oversampling,No Feature Selection,No cost sensitive,5.0,4.0,138.0,11.0,IBk,0.556,0.313,0.693,0.353,
AVRO,4,13.03%,59.07%,10.13%,oversampling,No Feature Selection,Sensitive Threshold,7.0,15.0,127.0,9.0,RandomForest,0.318,0.438,0.666,0.285,
AVRO,4,13.03%,59.07%,10.13%,oversampling,No Feature Selection,Sensitive Threshold,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.5,0.0,
AVRO,4,13.03%,59.07%,10.13%,oversampling,No Feature Selection,Sensitive Threshold,6.0,12.0,130.0,10.0,IBk,0.333,0.375,0.645,0.275,
AVRO,4,13.03%,59.07%,10.13%,oversampling,No Feature Selection,Sensitive Learning,7.0,23.0,119.0,9.0,RandomForest,0.233,0.438,0.634,0.198,
AVRO,4,13.03%,59.07%,10.13%,oversampling,No Feature Selection,Sensitive Learning,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.615,0.0,
AVRO,4,13.03%,59.07%,10.13%,oversampling,No Feature Selection,Sensitive Learning,6.0,12.0,130.0,10.0,IBk,0.333,0.375,0.693,0.275,
AVRO,4,13.03%,59.07%,10.13%,oversampling,Best first,No cost sensitive,3.0,3.0,139.0,13.0,RandomForest,0.5,0.188,0.646,0.23,
AVRO,4,13.03%,59.07%,10.13%,oversampling,Best first,No cost sensitive,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.615,0.0,
AVRO,4,13.03%,59.07%,10.13%,oversampling,Best first,No cost sensitive,5.0,3.0,139.0,11.0,IBk,0.625,0.313,0.698,0.374,
AVRO,4,13.03%,59.07%,10.13%,oversampling,Best first,Sensitive Threshold,7.0,15.0,127.0,9.0,RandomForest,0.318,0.438,0.666,0.285,
AVRO,4,13.03%,59.07%,10.13%,oversampling,Best first,Sensitive Threshold,2.0,2.0,140.0,14.0,NaiveBayes,0.5,0.125,0.555,0.166,
AVRO,4,13.03%,59.07%,10.13%,oversampling,Best first,Sensitive Threshold,6.0,11.0,131.0,10.0,IBk,0.353,0.375,0.649,0.29,
AVRO,4,13.03%,59.07%,10.13%,oversampling,Best first,Sensitive Learning,7.0,23.0,119.0,9.0,RandomForest,0.233,0.438,0.634,0.198,
AVRO,4,13.03%,59.07%,10.13%,oversampling,Best first,Sensitive Learning,2.0,2.0,140.0,14.0,NaiveBayes,0.5,0.125,0.615,0.166,
AVRO,4,13.03%,59.07%,10.13%,oversampling,Best first,Sensitive Learning,6.0,11.0,131.0,10.0,IBk,0.353,0.375,0.698,0.29,
AVRO,4,13.03%,59.07%,10.13%,undersampling,No Feature Selection,No cost sensitive,7.0,1.0,141.0,9.0,RandomForest,0.875,0.438,0.771,0.553,
AVRO,4,13.03%,59.07%,10.13%,undersampling,No Feature Selection,No cost sensitive,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.678,0.0,
AVRO,4,13.03%,59.07%,10.13%,undersampling,No Feature Selection,No cost sensitive,7.0,4.0,138.0,9.0,IBk,0.636,0.438,0.741,0.475,
AVRO,4,13.03%,59.07%,10.13%,undersampling,No Feature Selection,Sensitive Threshold,10.0,26.0,116.0,6.0,RandomForest,0.278,0.625,0.721,0.284,
AVRO,4,13.03%,59.07%,10.13%,undersampling,No Feature Selection,Sensitive Threshold,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.5,0.0,
AVRO,4,13.03%,59.07%,10.13%,undersampling,No Feature Selection,Sensitive Threshold,8.0,10.0,132.0,8.0,IBk,0.444,0.5,0.715,0.407,
AVRO,4,13.03%,59.07%,10.13%,undersampling,No Feature Selection,Sensitive Learning,11.0,33.0,109.0,5.0,RandomForest,0.25,0.688,0.774,0.256,
AVRO,4,13.03%,59.07%,10.13%,undersampling,No Feature Selection,Sensitive Learning,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.678,0.0,
AVRO,4,13.03%,59.07%,10.13%,undersampling,No Feature Selection,Sensitive Learning,8.0,10.0,132.0,8.0,IBk,0.444,0.5,0.741,0.407,
AVRO,4,13.03%,59.07%,10.13%,undersampling,Best first,No cost sensitive,6.0,1.0,141.0,10.0,RandomForest,0.857,0.375,0.77,0.49,
AVRO,4,13.03%,59.07%,10.13%,undersampling,Best first,No cost sensitive,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.678,0.0,
AVRO,4,13.03%,59.07%,10.13%,undersampling,Best first,No cost sensitive,7.0,2.0,140.0,9.0,IBk,0.778,0.438,0.747,0.525,
AVRO,4,13.03%,59.07%,10.13%,undersampling,Best first,Sensitive Threshold,10.0,26.0,116.0,6.0,RandomForest,0.278,0.625,0.721,0.284,
AVRO,4,13.03%,59.07%,10.13%,undersampling,Best first,Sensitive Threshold,2.0,2.0,140.0,14.0,NaiveBayes,0.5,0.125,0.555,0.166,
AVRO,4,13.03%,59.07%,10.13%,undersampling,Best first,Sensitive Threshold,8.0,8.0,134.0,8.0,IBk,0.5,0.5,0.722,0.444,
AVRO,4,13.03%,59.07%,10.13%,undersampling,Best first,Sensitive Learning,11.0,33.0,109.0,5.0,RandomForest,0.25,0.688,0.775,0.256,
AVRO,4,13.03%,59.07%,10.13%,undersampling,Best first,Sensitive Learning,2.0,2.0,140.0,14.0,NaiveBayes,0.5,0.125,0.678,0.166,
AVRO,4,13.03%,59.07%,10.13%,undersampling,Best first,Sensitive Learning,8.0,8.0,134.0,8.0,IBk,0.5,0.5,0.747,0.444,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,No Feature Selection,No cost sensitive,9.0,2.0,140.0,7.0,RandomForest,0.818,0.563,0.921,0.637,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,No Feature Selection,No cost sensitive,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.686,0.0,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,No Feature Selection,No cost sensitive,10.0,6.0,136.0,6.0,IBk,0.625,0.625,0.856,0.583,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,No Feature Selection,Sensitive Threshold,15.0,29.0,113.0,1.0,RandomForest,0.341,0.938,0.867,0.413,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,No Feature Selection,Sensitive Threshold,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.5,0.0,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,No Feature Selection,Sensitive Threshold,12.0,15.0,127.0,4.0,IBk,0.444,0.75,0.822,0.494,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,No Feature Selection,Sensitive Learning,15.0,37.0,105.0,1.0,RandomForest,0.288,0.938,0.914,0.339,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,No Feature Selection,Sensitive Learning,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.686,0.0,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,No Feature Selection,Sensitive Learning,12.0,15.0,127.0,4.0,IBk,0.444,0.75,0.856,0.494,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,Best first,No cost sensitive,9.0,1.0,141.0,7.0,RandomForest,0.9,0.563,0.921,0.666,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,Best first,No cost sensitive,0.0,0.0,142.0,16.0,NaiveBayes,NaN,0.0,0.686,0.0,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,Best first,No cost sensitive,10.0,4.0,138.0,6.0,IBk,0.714,0.625,0.863,0.632,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,Best first,Sensitive Threshold,15.0,29.0,113.0,1.0,RandomForest,0.341,0.938,0.867,0.413,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,Best first,Sensitive Threshold,2.0,2.0,140.0,14.0,NaiveBayes,0.5,0.125,0.555,0.166,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,Best first,Sensitive Threshold,12.0,13.0,129.0,4.0,IBk,0.48,0.75,0.829,0.527,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,Best first,Sensitive Learning,15.0,37.0,105.0,1.0,RandomForest,0.288,0.938,0.918,0.339,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,Best first,Sensitive Learning,2.0,2.0,140.0,14.0,NaiveBayes,0.5,0.125,0.686,0.166,
AVRO,4,13.03%,59.07%,10.13%,SMOTE,Best first,Sensitive Learning,12.0,13.0,129.0,4.0,IBk,0.48,0.75,0.863,0.527,
AVRO,5,16.98%,47.56%,9.36%,No sampling,No Feature Selection,No cost sensitive,8.0,21.0,134.0,8.0,RandomForest,0.276,0.5,0.865,0.267,
AVRO,5,16.98%,47.56%,9.36%,No sampling,No Feature Selection,No cost sensitive,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.67,-0.1,
AVRO,5,16.98%,47.56%,9.36%,No sampling,No Feature Selection,No cost sensitive,10.0,31.0,124.0,6.0,IBk,0.244,0.625,0.848,0.25,
AVRO,5,16.98%,47.56%,9.36%,No sampling,No Feature Selection,Sensitive Threshold,16.0,51.0,104.0,0.0,RandomForest,0.239,1.0,0.835,0.276,
AVRO,5,16.98%,47.56%,9.36%,No sampling,No Feature Selection,Sensitive Threshold,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.452,-0.1,
AVRO,5,16.98%,47.56%,9.36%,No sampling,No Feature Selection,Sensitive Threshold,12.0,42.0,113.0,4.0,IBk,0.222,0.75,0.74,0.232,
AVRO,5,16.98%,47.56%,9.36%,No sampling,No Feature Selection,Sensitive Learning,16.0,56.0,99.0,0.0,RandomForest,0.222,1.0,0.862,0.249,
AVRO,5,16.98%,47.56%,9.36%,No sampling,No Feature Selection,Sensitive Learning,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.67,-0.1,
AVRO,5,16.98%,47.56%,9.36%,No sampling,No Feature Selection,Sensitive Learning,12.0,42.0,113.0,4.0,IBk,0.222,0.75,0.849,0.232,
AVRO,5,16.98%,47.56%,9.36%,No sampling,Best first,No cost sensitive,4.0,23.0,132.0,12.0,RandomForest,0.148,0.25,0.635,0.078,
AVRO,5,16.98%,47.56%,9.36%,No sampling,Best first,No cost sensitive,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.609,-0.1,
AVRO,5,16.98%,47.56%,9.36%,No sampling,Best first,No cost sensitive,4.0,25.0,130.0,12.0,IBk,0.138,0.25,0.637,0.065,
AVRO,5,16.98%,47.56%,9.36%,No sampling,Best first,Sensitive Threshold,16.0,155.0,0.0,0.0,RandomForest,0.094,1.0,0.5,0.0,
AVRO,5,16.98%,47.56%,9.36%,No sampling,Best first,Sensitive Threshold,8.0,34.0,121.0,8.0,NaiveBayes,0.19,0.5,0.64,0.162,
AVRO,5,16.98%,47.56%,9.36%,No sampling,Best first,Sensitive Threshold,16.0,152.0,3.0,0.0,IBk,0.095,1.0,0.51,0.004,
AVRO,5,16.98%,47.56%,9.36%,No sampling,Best first,Sensitive Learning,16.0,155.0,0.0,0.0,RandomForest,0.094,1.0,0.634,0.0,
AVRO,5,16.98%,47.56%,9.36%,No sampling,Best first,Sensitive Learning,8.0,34.0,121.0,8.0,NaiveBayes,0.19,0.5,0.609,0.162,
AVRO,5,16.98%,47.56%,9.36%,No sampling,Best first,Sensitive Learning,16.0,152.0,3.0,0.0,IBk,0.095,1.0,0.637,0.004,
AVRO,5,16.98%,47.56%,9.36%,oversampling,No Feature Selection,No cost sensitive,9.0,31.0,124.0,7.0,RandomForest,0.225,0.563,0.75,0.217,
AVRO,5,16.98%,47.56%,9.36%,oversampling,No Feature Selection,No cost sensitive,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.68,-0.1,
AVRO,5,16.98%,47.56%,9.36%,oversampling,No Feature Selection,No cost sensitive,7.0,33.0,122.0,9.0,IBk,0.175,0.438,0.706,0.134,
AVRO,5,16.98%,47.56%,9.36%,oversampling,No Feature Selection,Sensitive Threshold,13.0,44.0,111.0,3.0,RandomForest,0.228,0.813,0.764,0.246,
AVRO,5,16.98%,47.56%,9.36%,oversampling,No Feature Selection,Sensitive Threshold,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.452,-0.1,
AVRO,5,16.98%,47.56%,9.36%,oversampling,No Feature Selection,Sensitive Threshold,8.0,36.0,119.0,8.0,IBk,0.182,0.5,0.634,0.15,
AVRO,5,16.98%,47.56%,9.36%,oversampling,No Feature Selection,Sensitive Learning,13.0,50.0,105.0,3.0,RandomForest,0.206,0.813,0.778,0.211,
AVRO,5,16.98%,47.56%,9.36%,oversampling,No Feature Selection,Sensitive Learning,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.68,-0.1,
AVRO,5,16.98%,47.56%,9.36%,oversampling,No Feature Selection,Sensitive Learning,8.0,36.0,119.0,8.0,IBk,0.182,0.5,0.706,0.15,
AVRO,5,16.98%,47.56%,9.36%,oversampling,Best first,No cost sensitive,4.0,24.0,131.0,12.0,RandomForest,0.143,0.25,0.626,0.071,
AVRO,5,16.98%,47.56%,9.36%,oversampling,Best first,No cost sensitive,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.61,-0.1,
AVRO,5,16.98%,47.56%,9.36%,oversampling,Best first,No cost sensitive,4.0,25.0,130.0,12.0,IBk,0.138,0.25,0.635,0.065,
AVRO,5,16.98%,47.56%,9.36%,oversampling,Best first,Sensitive Threshold,16.0,155.0,0.0,0.0,RandomForest,0.094,1.0,0.5,0.0,
AVRO,5,16.98%,47.56%,9.36%,oversampling,Best first,Sensitive Threshold,8.0,34.0,121.0,8.0,NaiveBayes,0.19,0.5,0.64,0.162,
AVRO,5,16.98%,47.56%,9.36%,oversampling,Best first,Sensitive Threshold,16.0,152.0,3.0,0.0,IBk,0.095,1.0,0.51,0.004,
AVRO,5,16.98%,47.56%,9.36%,oversampling,Best first,Sensitive Learning,16.0,155.0,0.0,0.0,RandomForest,0.094,1.0,0.63,0.0,
AVRO,5,16.98%,47.56%,9.36%,oversampling,Best first,Sensitive Learning,8.0,34.0,121.0,8.0,NaiveBayes,0.19,0.5,0.61,0.162,
AVRO,5,16.98%,47.56%,9.36%,oversampling,Best first,Sensitive Learning,16.0,152.0,3.0,0.0,IBk,0.095,1.0,0.635,0.004,
AVRO,5,16.98%,47.56%,9.36%,undersampling,No Feature Selection,No cost sensitive,9.0,25.0,130.0,7.0,RandomForest,0.265,0.563,0.857,0.267,
AVRO,5,16.98%,47.56%,9.36%,undersampling,No Feature Selection,No cost sensitive,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.663,-0.1,
AVRO,5,16.98%,47.56%,9.36%,undersampling,No Feature Selection,No cost sensitive,10.0,31.0,124.0,6.0,IBk,0.244,0.625,0.839,0.25,
AVRO,5,16.98%,47.56%,9.36%,undersampling,No Feature Selection,Sensitive Threshold,16.0,53.0,102.0,0.0,RandomForest,0.232,1.0,0.829,0.265,
AVRO,5,16.98%,47.56%,9.36%,undersampling,No Feature Selection,Sensitive Threshold,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.452,-0.1,
AVRO,5,16.98%,47.56%,9.36%,undersampling,No Feature Selection,Sensitive Threshold,12.0,42.0,113.0,4.0,IBk,0.222,0.75,0.74,0.232,
AVRO,5,16.98%,47.56%,9.36%,undersampling,No Feature Selection,Sensitive Learning,16.0,64.0,91.0,0.0,RandomForest,0.2,1.0,0.848,0.21,
AVRO,5,16.98%,47.56%,9.36%,undersampling,No Feature Selection,Sensitive Learning,0.0,15.0,140.0,16.0,NaiveBayes,0.0,0.0,0.663,-0.1,
AVRO,5,16.98%,47.56%,9.36%,undersampling,No Feature Selection,Sensitive Learning,12.0,42.0,113.0,4.0,IBk,0.222,0.75,0.839,0.232,
AVRO,5,16.98%,47.56%,9.36%,undersampling,Best first,No cost sensitive,9.0,28.0,127.0,7.0,RandomForest,0.243,0.563,0.837,0.24,
