Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Classifier,Precision,Recall,AUC,Kappa
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,No cost sensitive,42.0,58.0,1.0,2.0,IBk,0.42,0.955,0.486,-0.025,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,Sensitive Threshold,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,Sensitive Threshold,44.0,59.0,0.0,0.0,NaiveBayes,0.427,1.0,0.5,0.0,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,Sensitive Threshold,42.0,58.0,1.0,2.0,IBk,0.42,0.955,0.486,-0.025,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,Sensitive Learning,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.501,0.015,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,Sensitive Learning,41.0,57.0,2.0,3.0,NaiveBayes,0.418,0.932,0.601,-0.03,
AVRO,1,2.59%,87.38%,42.72%,undersampling,No Feature Selection,Sensitive Learning,42.0,58.0,1.0,2.0,IBk,0.42,0.955,0.486,-0.025,
AVRO,1,2.59%,87.38%,42.72%,undersampling,Best first,No cost sensitive,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.433,0.015,
AVRO,1,2.59%,87.38%,42.72%,undersampling,Best first,No cost sensitive,38.0,37.0,22.0,6.0,NaiveBayes,0.507,0.864,0.711,0.217,
AVRO,1,2.59%,87.38%,42.72%,undersampling,Best first,No cost sensitive,43.0,55.0,4.0,1.0,IBk,0.439,0.977,0.523,0.039,
AVRO,1,2.59%,87.38%,42.72%,undersampling,Best first,Sensitive Threshold,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,undersampling,Best first,Sensitive Threshold,44.0,59.0,0.0,0.0,NaiveBayes,0.427,1.0,0.5,0.0,
AVRO,1,2.59%,87.38%,42.72%,undersampling,Best first,Sensitive Threshold,43.0,55.0,4.0,1.0,IBk,0.439,0.977,0.523,0.039,
AVRO,1,2.59%,87.38%,42.72%,undersampling,Best first,Sensitive Learning,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.505,0.015,
AVRO,1,2.59%,87.38%,42.72%,undersampling,Best first,Sensitive Learning,44.0,59.0,0.0,0.0,NaiveBayes,0.427,1.0,0.711,0.0,
AVRO,1,2.59%,87.38%,42.72%,undersampling,Best first,Sensitive Learning,43.0,55.0,4.0,1.0,IBk,0.439,0.977,0.523,0.039,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,No Feature Selection,No cost sensitive,9.0,13.0,46.0,35.0,RandomForest,0.409,0.205,0.517,-0.017,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,No Feature Selection,No cost sensitive,32.0,27.0,32.0,12.0,NaiveBayes,0.542,0.727,0.604,0.258,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,No Feature Selection,No cost sensitive,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,No Feature Selection,Sensitive Threshold,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,No Feature Selection,Sensitive Threshold,35.0,34.0,25.0,9.0,NaiveBayes,0.507,0.795,0.61,0.204,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,No Feature Selection,Sensitive Threshold,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,No Feature Selection,Sensitive Learning,9.0,13.0,46.0,35.0,RandomForest,0.409,0.205,0.426,-0.017,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,No Feature Selection,Sensitive Learning,34.0,33.0,26.0,10.0,NaiveBayes,0.507,0.773,0.604,0.2,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,No Feature Selection,Sensitive Learning,44.0,58.0,1.0,0.0,IBk,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,Best first,No cost sensitive,9.0,13.0,46.0,35.0,RandomForest,0.409,0.205,0.507,-0.017,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,Best first,No cost sensitive,31.0,26.0,33.0,13.0,NaiveBayes,0.544,0.705,0.623,0.254,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,Best first,No cost sensitive,35.0,56.0,3.0,9.0,IBk,0.385,0.795,0.445,-0.135,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,Best first,Sensitive Threshold,44.0,58.0,1.0,0.0,RandomForest,0.431,1.0,0.508,0.015,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,Best first,Sensitive Threshold,33.0,28.0,31.0,11.0,NaiveBayes,0.541,0.75,0.638,0.263,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,Best first,Sensitive Threshold,35.0,56.0,3.0,9.0,IBk,0.385,0.795,0.423,-0.135,
